,clip_score,identity_consistency,face_identity_arcface,wer,cer,word_count,audio_duration,sync_score,token_precision,token_recall,token_f1,visual_precision,visual_recall,visual_f1
count,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
mean,23.46047794117647,39.25367647058823,0.15255294117647059,0.02849704475091472,0.016142533936651583,12.529411764705882,5.037223039215687,82.89507668669887,0.9034117647058824,0.8912764705882353,0.8968470588235294,0.14103529411764704,0.3437,0.19349411764705882
std,3.1452862915684334,42.979813749429645,0.17067088986426132,0.0651889667669221,0.036330536339182436,7.484297287144127,2.7070965447248447,13.44198318157691,0.19020581905646625,0.20722881535096585,0.19955882628202348,0.16405613727157722,0.34209039740980746,0.21383974569344047
min,18.859375,0.0,0.0,0.0,0.0,1.0,0.46,46.0,0.3333,0.25,0.2857,0.0,0.0,0.0
25%,21.96875,0.0,0.0,0.0,0.0,5.0,2.66,75.56184210526315,0.9048,0.875,0.8837,0.0,0.0,0.0
50%,22.484375,0.0,0.0,0.0,0.0,15.0,5.34,80.93944444444445,1.0,1.0,1.0,0.0714,0.5,0.125
75%,23.25,82.9375,0.3121,0.0,0.0,18.0,7.178375,93.98496240601504,1.0,1.0,1.0,0.2941,0.6667,0.4167
max,30.25,88.75,0.4127,0.25,0.125,25.0,9.755375,99.5169282441482,1.0,1.0,1.0,0.4583,0.8333,0.55
